tag_nach_meldezeitraum,Ags,weekday,Rkiname,State,DS,DS_1,DS_7
2021-03-01,09162,Mo,SK München,Bayern,39.8,39.7,39.8
2021-03-02,09162,Di,SK München,Bayern,38.5,40.9,41
2021-03-03,09162,Mi,SK München,Bayern,43.2,46.6,46
2021-03-04,09162,Do,SK München,Bayern,45.6,49,48.3
2021-03-05,09162,Fr,SK München,Bayern,48.7,49.8,49.9
2021-03-06,09162,Sa,SK München,Bayern,48.3,50.9,50.9
2021-03-07,09162,So,SK München,Bayern,52.1,54,54.2
2021-03-08,09162,Mo,SK München,Bayern,54.2,55.2,55.3
2021-03-09,09162,Di,SK München,Bayern,55.4,58.5,58.5
2021-03-10,09162,Mi,SK München,Bayern,55.4,58.6,58.7
2021-03-11,09162,Do,SK München,Bayern,56.9,63.3,63.3
2021-03-12,09162,Fr,SK München,Bayern,63.3,67.2,67.2
2021-03-13,09162,Sa,SK München,Bayern,64.6,68.5,68.5
2021-03-14,09162,So,SK München,Bayern,66.2,67.4,67.5
2021-03-15,09162,Mo,SK München,Bayern,69.1,69.2,69.3
2021-03-16,09162,Di,SK München,Bayern,66.7,70.5,70.8
2021-03-17,09162,Mi,SK München,Bayern,68.8,72.4,73.1
2021-03-18,09162,Do,SK München,Bayern,68.8,73.2,74.2
2021-03-19,09162,Fr,SK München,Bayern,72.3,76.2,76.9
2021-03-20,09162,Sa,SK München,Bayern,75.4,82.7,80.8
2021-03-21,09162,So,SK München,Bayern,83.9,84.8,83.7
2021-03-22,09162,Mo,SK München,Bayern,86,86,86.9
2021-03-23,09162,Di,SK München,Bayern,80,84.2,84.1
2021-03-24,09162,Mi,SK München,Bayern,82.5,86.3,86.8
2021-03-25,09162,Do,SK München,Bayern,84.4,89.2,89.9
2021-03-26,09162,Fr,SK München,Bayern,89.6,92.6,93.5
2021-03-27,09162,Sa,SK München,Bayern,92.2,97.8,98.6
2021-03-28,09162,So,SK München,Bayern,98.8,100.4,101.1
2021-03-29,09162,Mo,SK München,Bayern,97.3,99,99.4
2021-03-30,09162,Di,SK München,Bayern,97.4,102.2,103.4
2021-03-31,09162,Mi,SK München,Bayern,100.2,106.7,106.8
2021-04-01,09162,Do,SK München,Bayern,102.7,109.8,109.1
2021-04-02,09162,Fr,SK München,Bayern,104.3,109.1,108.5
2021-04-03,09162,Sa,SK München,Bayern,98.8,100.7,100.6
2021-04-04,09162,So,SK München,Bayern,94.5,96.4,96.5
2021-04-05,09162,Mo,SK München,Bayern,96.1,96.1,96.8
2021-04-06,09162,Di,SK München,Bayern,85.4,90.6,91.6
2021-04-07,09162,Mi,SK München,Bayern,82.8,88.7,90.1
2021-04-08,09162,Do,SK München,Bayern,87.4,96,97.5
2021-04-09,09162,Fr,SK München,Bayern,95.5,102.2,103.8
2021-04-10,09162,Sa,SK München,Bayern,102.5,102.5,112.1
2021-04-11,09162,So,SK München,Bayern,94.4,121.3,122.6
2021-04-12,09162,Mo,SK München,Bayern,126.9,130,131.3
2021-04-13,09162,Di,SK München,Bayern,134.7,143.4,145
2021-04-14,09162,Mi,SK München,Bayern,147.1,157.3,159.1
2021-04-15,09162,Do,SK München,Bayern,154.3,164.5,165.7
2021-04-16,09162,Fr,SK München,Bayern,158.5,167.4,169.7
2021-04-17,09162,Sa,SK München,Bayern,165.7,172.1,175.2
2021-04-18,09162,So,SK München,Bayern,163.9,171,173.6
2021-04-19,09162,Mo,SK München,Bayern,161.3,167.4,169.7
2021-04-20,09162,Di,SK München,Bayern,155.4,164.3,166.5
2021-04-21,09162,Mi,SK München,Bayern,156.5,166.2,170.1
2021-04-22,09162,Do,SK München,Bayern,146.4,160.6,162.9
2021-04-23,09162,Fr,SK München,Bayern,148.2,157.9,159.9
2021-04-24,09162,Sa,SK München,Bayern,146.8,154.6,156.8
2021-04-25,09162,So,SK München,Bayern,145.5,148.9,150.7
2021-04-26,09162,Mo,SK München,Bayern,146.8,148.4,151
2021-04-27,09162,Di,SK München,Bayern,140.8,151.1,154.5
2021-04-28,09162,Mi,SK München,Bayern,130.3,144.1,147.1
2021-04-29,09162,Do,SK München,Bayern,131.6,140.7,144.7
2021-04-30,09162,Fr,SK München,Bayern,127.9,136.9,141
2021-05-01,09162,Sa,SK München,Bayern,123.8,131.9,136.6
2021-05-02,09162,So,SK München,Bayern,126.7,133.1,137.6
2021-05-03,09162,Mo,SK München,Bayern,126.4,129,136
2021-05-04,09162,Di,SK München,Bayern,112.4,119.7,127.7
2021-05-05,09162,Mi,SK München,Bayern,99,111,NA
2021-05-06,09162,Do,SK München,Bayern,98.3,106.9,NA
2021-05-07,09162,Fr,SK München,Bayern,94.1,103.9,NA
2021-05-08,09162,Sa,SK München,Bayern,92.3,98.6,NA
2021-05-09,09162,So,SK München,Bayern,91.2,93.9,NA
2021-05-10,09162,Mo,SK München,Bayern,84.9,86.9,NA
2021-05-11,09162,Di,SK München,Bayern,78,NA,NA
