State,Inzidenz_mean,Inzidenz_med,Inzidenz_quart,Inzidenz_quant_90,delta_1_mean,delta_1_med,delta_1_quart,delta_1_quant_90,delta_2_mean,delta_2_med,delta_2_quart,delta_2_quant_90,delta_3_mean,delta_3_med,delta_3_quart,delta_3_quant_90,delta_5_mean,delta_5_med,delta_5_quart,delta_5_quant_90,delta_7_mean,delta_7_med,delta_7_quart,delta_7_quant_90,delta_I4_mean,delta_I4_med,delta_I4_quart,delta_I4_quant_90
Baden-Württemberg,126.4,113.5,166.9,220.9,4.2,2.2,5.7,10.4,5,2.9,6.9,12,5.3,3.3,7.5,12.7,5.6,3.4,7.9,13.5,5.8,3.6,8.1,13.9,5.9,3.6,8.1,14.7
Bayern,134,122.8,171.1,225.7,4.5,1.2,5.1,12,5.3,1.7,6,13.7,5.7,1.8,6.3,14.7,6,2,6.7,15.4,6.3,2.1,6.9,15.9,6.6,2.2,7.4,17
Berlin,107.1,103.6,131.3,157.3,9.8,7,15.2,22.4,10.8,8,15.7,23.4,11.3,8.6,16.3,23.2,11.8,9.1,17,24.1,12.2,9.6,17.2,24.6,12.9,10.5,17.8,25.7
Brandenburg,112.8,109,142.9,177.4,1.7,0,1.6,4.5,2.1,0.4,2.3,6,2.2,0.6,2.6,6.8,2.4,0.6,3,7.2,2.5,0.7,3,7.4,2.7,1,3.3,7.4
Bremen,129.6,130.5,159.9,175.9,5.4,0.5,5.9,22,5.6,0.8,5.8,22.1,5.8,1.1,5.9,22,6.1,1.4,6,22.1,6.4,1.6,6.6,23,6.8,1.8,7.6,23.9
Hamburg,101.8,103,124.6,136.8,17.1,16.6,20.5,23.7,18.9,17.6,22.3,25.8,18.9,17.2,22.2,25.8,18.8,17,22.1,25.7,18.9,17.8,22.1,25.6,19.2,17.7,22.2,25.7
Hessen,126,118.3,156.8,200.3,2.9,0.6,3.4,7.9,3.8,1.2,4.4,9.8,4.2,1.4,5,10.9,4.6,1.4,5.4,11.9,4.9,1.5,5.5,12.6,5.4,1.6,6.2,13.9
Mecklenburg-Vorpommern,99.1,95.8,124.6,169.9,4.8,0.9,6.8,15.1,6.3,1.5,8.1,17.6,7.2,1.8,8.4,18.9,8.2,2.1,8.8,21.2,8.7,2.3,9.3,21.7,9.7,2.6,11.4,24
Niedersachsen,88.9,80.8,110.8,146.1,8.8,2.3,14.1,26.2,10.3,3.7,16.1,28.8,10.9,4.4,16.8,30.3,11.5,4.7,17.6,30.9,11.9,5,18.2,31.6,12.9,5.7,19.6,33
Nordrhein-Westfalen,124.2,118.7,158.3,200.3,3.8,1,5.1,11.3,4.7,1.6,6.3,13,5.1,1.8,6.9,13.9,5.5,2,7.2,15,5.6,2.2,7.5,15.2,5.9,2.3,7.8,16.1
Rheinland-Pfalz,93.5,88.6,126.4,158.1,7,4.2,9.9,17.2,8,5.2,11.1,18.5,8.4,5.5,11.9,19.6,8.6,5.6,12,20.7,8.8,5.8,12.4,21.1,9.1,5.9,12.8,22
Saarland,89.1,80.1,114.2,149.3,6.6,1.2,9.5,18.6,7.7,2,11.6,19.5,8,2.3,11.8,19.5,8.3,2.5,12,19.6,8.6,2.9,12.4,20.8,9.2,3.9,13.6,21.7
Sachsen,176,161.7,230.3,297.2,11.2,7.6,16.4,25.8,13.4,9.4,19,30.2,14.3,10.1,20.5,32.1,14.7,10.6,20.9,32.8,15.3,11,21.6,34,16,11.6,23.4,35.4
Sachsen-Anhalt,135,129.8,173.3,203.5,8.1,4,12.3,20.3,9.5,5.1,14,24.3,10.4,5.4,14.6,25.8,11.2,5.8,14.8,26.4,11.9,6.2,15.1,27,12.7,6.5,16.1,28.8
Schleswig-Holstein,60.1,56,79.8,96.3,1.2,0,1,2.8,1.6,0,1.5,3.8,1.8,0.4,1.8,4.1,1.9,0.6,1.9,4.4,1.9,0.7,2,4.4,2.1,0.8,2.2,4.8
Thüringen,200.8,185,258.8,322.9,3.6,0.7,3.8,10.6,4.3,1.5,5.1,11.9,4.7,1.8,6,13.1,5.1,2.2,6.5,13.7,5.3,2.3,7.2,14.6,5.9,2.7,7.9,15.4
